2024-10-30 20:32:57,457 - ERROR - robots.txt 접근 실패 - 에러: HTTPConnectionPool(host='www.localhost', port=3000): Max retries exceeded with url: /robots.txt (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x105393740>: Failed to resolve 'www.localhost' ([Errno 8] nodename nor servname provided, or not known)"))
2024-10-30 20:33:01,377 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/17, 깊이: 3
2024-10-30 20:33:01,409 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/17
2024-10-30 20:33:01,434 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/21, 깊이: 3
2024-10-30 20:33:01,465 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/21
2024-10-30 20:33:01,478 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,499 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,517 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/25, 깊이: 3
2024-10-30 20:33:01,556 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/25
2024-10-30 20:33:01,569 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/19, 깊이: 3
2024-10-30 20:33:01,590 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/19
2024-10-30 20:33:01,603 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/24, 깊이: 3
2024-10-30 20:33:01,625 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/24
2024-10-30 20:33:01,637 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,658 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,668 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,687 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,698 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,721 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,733 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,753 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,766 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,825 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,838 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,857 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,867 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/22, 깊이: 3
2024-10-30 20:33:01,889 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/22
2024-10-30 20:33:01,902 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/18, 깊이: 3
2024-10-30 20:33:01,924 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/18
2024-10-30 20:33:01,936 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/20, 깊이: 3
2024-10-30 20:33:01,957 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/20
2024-10-30 20:33:01,968 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/21, 깊이: 3
2024-10-30 20:33:01,994 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/21
2024-10-30 20:33:02,006 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/16, 깊이: 3
2024-10-30 20:33:02,031 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/16
